,0
10,0.9905
20,0.9872
30,0.9935
40,0.9932
50,0.9938
60,0.9927
70,0.9942
80,0.9938
90,0.9938
100,0.9935
110,0.9922
120,0.9922
130,0.9935
140,0.9931
150,0.9936
160,0.9924
170,0.9934
180,0.9918
190,0.9919
200,0.9933
210,0.9938
220,0.9926
230,0.9919
240,0.9935
250,0.995
260,0.9927
270,0.9935
280,0.993
290,0.9943
300,0.9923
310,0.9903
320,0.9929
330,0.9935
340,0.9932
350,0.9928
360,0.9925
370,0.9937
380,0.9924
390,0.9933
400,0.9928
410,0.9928
420,0.994
430,0.9934
440,0.9927
450,0.9937
460,0.9936
470,0.9928
480,0.994
490,0.9933
500,0.9936
510,0.9916
520,0.992
530,0.9933
540,0.9929
550,0.9917
560,0.9928
570,0.9942
580,0.9929
590,0.9935
600,0.9915
610,0.9932
620,0.9934
630,0.9929
640,0.9913
650,0.9932
660,0.9937
670,0.992
680,0.9938
690,0.9937
700,0.9931
710,0.9942
720,0.9937
730,0.9931
740,0.9927
750,0.9936
760,0.9923
770,0.9941
780,0.994
790,0.9935
800,0.9928
810,0.992
820,0.994
830,0.9922
840,0.9916
850,0.9938
860,0.9922
870,0.9937
880,0.9913
890,0.9927
900,0.9921
910,0.9934
920,0.9928
930,0.9919
940,0.9928
950,0.9938
960,0.9938
970,0.9926
980,0.9932
990,0.9918
1000,0.9939
